variable,comunidad,valor,fecha
Generación total,Andalucia,3117371.151,2024-07-01
Hidráulica,Andalucia,68585.722,2024-08-01
Carbón,Andalucia,NA,2024-08-01
Ciclo combinado,Andalucia,781108.192,2024-08-01
Eólica,Andalucia,400377.754,2024-08-01
Solar fotovoltaica,Andalucia,1207534.878,2024-08-01
Solar térmica,Andalucia,289788.816,2024-08-01
Otras renovables,Andalucia,134492.183,2024-08-01
Cogeneración,Andalucia,272300.642,2024-08-01
Residuos no renovables,Andalucia,1848.886,2024-08-01
Generación total,Andalucia,3156037.0730000003,2024-08-01
Hidráulica,Andalucia,36364.907,2024-09-01
Carbón,Andalucia,NA,2024-09-01
Ciclo combinado,Andalucia,548730.59,2024-09-01
Eólica,Andalucia,477315.484,2024-09-01
Solar fotovoltaica,Andalucia,948578.268,2024-09-01
Solar térmica,Andalucia,187454.713,2024-09-01
Otras renovables,Andalucia,127307.344,2024-09-01
Cogeneración,Andalucia,231988.99,2024-09-01
Residuos no renovables,Andalucia,1612.306,2024-09-01
Generación total,Andalucia,2559352.602,2024-09-01
Hidráulica,Andalucia,8803.44,2024-10-01
Carbón,Andalucia,53868.067,2024-10-01
Ciclo combinado,Andalucia,491191.387,2024-10-01
Eólica,Andalucia,579969.136,2024-10-01
Solar fotovoltaica,Andalucia,655998.6,2024-10-01
Solar térmica,Andalucia,72723.47,2024-10-01
Otras renovables,Andalucia,119916.627,2024-10-01
Cogeneración,Andalucia,199278.024,2024-10-01
Residuos no renovables,Andalucia,2447.247,2024-10-01
Generación total,Andalucia,2184195.998,2024-10-01
Hidráulica,Andalucia,14660.168,2024-11-01
Carbón,Andalucia,55892.794,2024-11-01
Ciclo combinado,Andalucia,651473.086,2024-11-01
Eólica,Andalucia,628895.606,2024-11-01
Solar fotovoltaica,Andalucia,588903.792,2024-11-01
Solar térmica,Andalucia,40710.478,2024-11-01
Otras renovables,Andalucia,127105.376,2024-11-01
Cogeneración,Andalucia,289511.132,2024-11-01
Residuos no renovables,Andalucia,2119.272,2024-11-01
Generación total,Andalucia,2399271.704,2024-11-01
Hidráulica,Andalucia,11743.874,2024-12-01
Carbón,Andalucia,40350.903,2024-12-01
Ciclo combinado,Andalucia,926884.574,2024-12-01
Eólica,Andalucia,537366.747,2024-12-01
Solar fotovoltaica,Andalucia,648770.227,2024-12-01
Solar térmica,Andalucia,52374.541,2024-12-01
Otras renovables,Andalucia,142142.543,2024-12-01
Cogeneración,Andalucia,293667.012,2024-12-01
Residuos no renovables,Andalucia,1774.812,2024-12-01
Generación total,Andalucia,2655075.2330000005,2024-12-01
Hidráulica,Aragon,138223.339,2023-01-01
Ciclo combinado,Aragon,32185.878,2023-01-01
Eólica,Aragon,1614538.718,2023-01-01
Solar fotovoltaica,Aragon,142219.179,2023-01-01
Otras renovables,Aragon,3381.997,2023-01-01
Cogeneración,Aragon,124567.228,2023-01-01
Residuos no renovables,Aragon,12836.85,2023-01-01
Generación total,Aragon,2067953.189,2023-01-01
Hidráulica,Aragon,144140.23,2023-02-01
Ciclo combinado,Aragon,299658.149,2023-02-01
Eólica,Aragon,647693.224,2023-02-01
Solar fotovoltaica,Aragon,206100.924,2023-02-01
Otras renovables,Aragon,3890.325,2023-02-01
Cogeneración,Aragon,140743.885,2023-02-01
Residuos no renovables,Aragon,12614.528,2023-02-01
Generación total,Aragon,1454841.265,2023-02-01
Hidráulica,Aragon,196557.201,2023-03-01
Ciclo combinado,Aragon,149623.63,2023-03-01
Eólica,Aragon,1156474.321,2023-03-01
Solar fotovoltaica,Aragon,312663.144,2023-03-01
Otras renovables,Aragon,4304.277,2023-03-01
Cogeneración,Aragon,152373.136,2023-03-01
Residuos no renovables,Aragon,20070.182,2023-03-01
Generación total,Aragon,1992065.891,2023-03-01
Hidráulica,Aragon,182705.969,2023-04-01
Ciclo combinado,Aragon,40068.2,2023-04-01
Eólica,Aragon,1006824.51,2023-04-01
Solar fotovoltaica,Aragon,383961.203,2023-04-01
Otras renovables,Aragon,3876.493,2023-04-01
Cogeneración,Aragon,153079.961,2023-04-01
Residuos no renovables,Aragon,15254.358,2023-04-01
Generación total,Aragon,1785770.694,2023-04-01
Hidráulica,Aragon,173256.103,2023-05-01
Ciclo combinado,Aragon,134853.492,2023-05-01
Eólica,Aragon,1369951.229,2023-05-01
Solar fotovoltaica,Aragon,425807.079,2023-05-01
Otras renovables,Aragon,4282.371,2023-05-01
Cogeneración,Aragon,175407.971,2023-05-01
Residuos no renovables,Aragon,7799.516,2023-05-01
Generación total,Aragon,2291357.7609999995,2023-05-01
Hidráulica,Aragon,247530.64,2023-06-01
Ciclo combinado,Aragon,304872.628,2023-06-01
Eólica,Aragon,651484.063,2023-06-01
Solar fotovoltaica,Aragon,400048.56,2023-06-01
Otras renovables,Aragon,4627.359,2023-06-01
Cogeneración,Aragon,187885.092,2023-06-01
Residuos no renovables,Aragon,22098.18,2023-06-01
Generación total,Aragon,1818546.522,2023-06-01
Hidráulica,Aragon,188518.524,2023-07-01
Ciclo combinado,Aragon,290002.673,2023-07-01
Eólica,Aragon,874266.144,2023-07-01
Solar fotovoltaica,Aragon,514099.227,2023-07-01
Otras renovables,Aragon,4405.067,2023-07-01
Cogeneración,Aragon,161738.8,2023-07-01
Residuos no renovables,Aragon,20873.277,2023-07-01
Generación total,Aragon,2053903.712,2023-07-01
Hidráulica,Aragon,129129.092,2023-08-01
Ciclo combinado,Aragon,244202.961,2023-08-01
Eólica,Aragon,942736.263,2023-08-01
Solar fotovoltaica,Aragon,456392.554,2023-08-01
Otras renovables,Aragon,2595.931,2023-08-01
Cogeneración,Aragon,112418.01,2023-08-01
Residuos no renovables,Aragon,19072.932,2023-08-01
Generación total,Aragon,1906547.743,2023-08-01
Hidráulica,Aragon,121116.061,2023-09-01
Ciclo combinado,Aragon,324891.391,2023-09-01
Eólica,Aragon,479995.212,2023-09-01
Solar fotovoltaica,Aragon,344852.974,2023-09-01
Otras renovables,Aragon,2363.777,2023-09-01
Cogeneración,Aragon,108319.661,2023-09-01
Residuos no renovables,Aragon,17835.448,2023-09-01
Generación total,Aragon,1399374.5240000002,2023-09-01
Hidráulica,Aragon,157271.038,2023-10-01
Ciclo combinado,Aragon,91194.828,2023-10-01
Eólica,Aragon,753966.96,2023-10-01
Solar fotovoltaica,Aragon,268814.647,2023-10-01
Otras renovables,Aragon,2385.103,2023-10-01
Cogeneración,Aragon,87421.721,2023-10-01
Residuos no renovables,Aragon,16930.661,2023-10-01
Generación total,Aragon,1377984.9579999996,2023-10-01
Hidráulica,Aragon,279754.205,2023-11-01
Ciclo combinado,Aragon,110132.748,2023-11-01
Eólica,Aragon,1351550.71,2023-11-01
Solar fotovoltaica,Aragon,208580.35,2023-11-01
Otras renovables,Aragon,2056.017,2023-11-01
Cogeneración,Aragon,74131.825,2023-11-01
Residuos no renovables,Aragon,16574.985,2023-11-01
Generación total,Aragon,2042780.84,2023-11-01
Hidráulica,Aragon,352917.856,2023-12-01
Ciclo combinado,Aragon,115778.201,2023-12-01
Eólica,Aragon,1157859.786,2023-12-01
Solar fotovoltaica,Aragon,182697.33,2023-12-01
Otras renovables,Aragon,1911.104,2023-12-01
Cogeneración,Aragon,77983.227,2023-12-01
Residuos no renovables,Aragon,10726.77,2023-12-01
Generación total,Aragon,1899874.274,2023-12-01
Hidráulica,Aragon,253948.583,2024-01-01
Ciclo combinado,Aragon,132307.994,2024-01-01
Eólica,Aragon,939643.313,2024-01-01
Solar fotovoltaica,Aragon,166676.594,2024-01-01
Otras renovables,Aragon,1941.765,2024-01-01
Cogeneración,Aragon,140178.644,2024-01-01
Residuos no renovables,Aragon,14944.809,2024-01-01
Generación total,Aragon,1649641.702,2024-01-01
Hidráulica,Aragon,216570.455,2024-02-01
Ciclo combinado,Aragon,15710.48,2024-02-01
Eólica,Aragon,1377727.268,2024-02-01
Solar fotovoltaica,Aragon,240867.572,2024-02-01
Otras renovables,Aragon,2757.384,2024-02-01
Cogeneración,Aragon,92022.304,2024-02-01
Residuos no renovables,Aragon,7383.868,2024-02-01
Generación total,Aragon,1953039.331,2024-02-01
Hidráulica,Aragon,414580.538,2024-03-01
Ciclo combinado,Aragon,35090.983,2024-03-01
Eólica,Aragon,1020792.461,2024-03-01
Solar fotovoltaica,Aragon,330502.783,2024-03-01
Otras renovables,Aragon,2502.725,2024-03-01
Cogeneración,Aragon,54641.748,2024-03-01
Residuos no renovables,Aragon,937.963,2024-03-01
Generación total,Aragon,1859049.201,2024-03-01
Hidráulica,Aragon,414788.598,2024-04-01
Ciclo combinado,Aragon,13230.384,2024-04-01
Eólica,Aragon,1023185.71,2024-04-01
Solar fotovoltaica,Aragon,373371.091,2024-04-01
Otras renovables,Aragon,2172.614,2024-04-01
Cogeneración,Aragon,50713.47,2024-04-01
Residuos no renovables,Aragon,NA,2024-04-01
Generación total,Aragon,1877461.867,2024-04-01
Hidráulica,Aragon,372989.858,2024-05-01
Ciclo combinado,Aragon,18041.926,2024-05-01
Eólica,Aragon,774474.747,2024-05-01
Solar fotovoltaica,Aragon,496318.845,2024-05-01
Otras renovables,Aragon,2805.845,2024-05-01
Cogeneración,Aragon,66766.392,2024-05-01
Residuos no renovables,Aragon,5923.496,2024-05-01
Generación total,Aragon,1737321.109,2024-05-01
Hidráulica,Aragon,358034.757,2024-06-01
Ciclo combinado,Aragon,67384.306,2024-06-01
Eólica,Aragon,934014.75,2024-06-01
Solar fotovoltaica,Aragon,491775.509,2024-06-01
Otras renovables,Aragon,2650.178,2024-06-01
Cogeneración,Aragon,92875.895,2024-06-01
Residuos no renovables,Aragon,16425.449,2024-06-01
Generación total,Aragon,1963160.8440000005,2024-06-01
Hidráulica,Aragon,267296.992,2024-07-01
Ciclo combinado,Aragon,125989.901,2024-07-01
Eólica,Aragon,886552.412,2024-07-01
Solar fotovoltaica,Aragon,571539.318,2024-07-01
Otras renovables,Aragon,2838.673,2024-07-01
Cogeneración,Aragon,110606.542,2024-07-01
Residuos no renovables,Aragon,15108.929,2024-07-01
Generación total,Aragon,1979932.767,2024-07-01
Hidráulica,Aragon,182676.946,2024-08-01
Ciclo combinado,Aragon,126458.1,2024-08-01
Eólica,Aragon,795170.581,2024-08-01
Solar fotovoltaica,Aragon,512064.78,2024-08-01
Otras renovables,Aragon,5256.853,2024-08-01
Cogeneración,Aragon,145033.713,2024-08-01
Residuos no renovables,Aragon,18496.481,2024-08-01
Generación total,Aragon,1785157.4539999997,2024-08-01
Hidráulica,Aragon,247572.743,2024-09-01
Ciclo combinado,Aragon,63098.434,2024-09-01
Eólica,Aragon,909168.939,2024-09-01
Solar fotovoltaica,Aragon,371445.864,2024-09-01
Otras renovables,Aragon,4459.46,2024-09-01
Cogeneración,Aragon,112880.638,2024-09-01
Residuos no renovables,Aragon,13192.572,2024-09-01
Generación total,Aragon,1721818.65,2024-09-01
Hidráulica,Aragon,397927.049,2024-10-01
Ciclo combinado,Aragon,100360.663,2024-10-01
Eólica,Aragon,777809.267,2024-10-01
Solar fotovoltaica,Aragon,239266.376,2024-10-01
Otras renovables,Aragon,4742.681,2024-10-01
Cogeneración,Aragon,106828.586,2024-10-01
Residuos no renovables,Aragon,9419.69,2024-10-01
Generación total,Aragon,1636354.312,2024-10-01
Hidráulica,Aragon,371000.629,2024-11-01
Ciclo combinado,Aragon,177737.702,2024-11-01
Eólica,Aragon,757848.148,2024-11-01
Solar fotovoltaica,Aragon,181348.945,2024-11-01
Otras renovables,Aragon,3808.283,2024-11-01
Cogeneración,Aragon,149781.054,2024-11-01
Residuos no renovables,Aragon,17910.53,2024-11-01
Generación total,Aragon,1659435.2910000002,2024-11-01
Hidráulica,Aragon,309806.729,2024-12-01
Ciclo combinado,Aragon,179560.067,2024-12-01
Eólica,Aragon,1261691.656,2024-12-01
Solar fotovoltaica,Aragon,164685.806,2024-12-01
Otras renovables,Aragon,3842.89,2024-12-01
Cogeneración,Aragon,140209.098,2024-12-01
Residuos no renovables,Aragon,11546.595,2024-12-01
Generación total,Aragon,2071342.841,2024-12-01
Hidráulica,Asturias,339398.022,2023-01-01
Carbón,Asturias,240878.045,2023-01-01
Ciclo combinado,Asturias,145924.235,2023-01-01
Eólica,Asturias,183131.09,2023-01-01
Solar fotovoltaica,Asturias,25.566,2023-01-01
Otras renovables,Asturias,19027.666,2023-01-01
Cogeneración,Asturias,11748.319,2023-01-01
Residuos no renovables,Asturias,5897.717,2023-01-01
Generación total,Asturias,946030.66,2023-01-01
Hidráulica,Asturias,193510.875,2023-02-01
Carbón,Asturias,278501.776,2023-02-01
Ciclo combinado,Asturias,324781.043,2023-02-01
Eólica,Asturias,89787.872,2023-02-01
Solar fotovoltaica,Asturias,36.229,2023-02-01
Otras renovables,Asturias,17707.555,2023-02-01
Cogeneración,Asturias,26380.05,2023-02-01
Residuos no renovables,Asturias,10672.339,2023-02-01
Generación total,Asturias,941377.7390000002,2023-02-01
Hidráulica,Asturias,174584.088,2023-03-01
Carbón,Asturias,257560.182,2023-03-01
Ciclo combinado,Asturias,187146.853,2023-03-01
Eólica,Asturias,193930.269,2023-03-01
Solar fotovoltaica,Asturias,56.438,2023-03-01
Otras renovables,Asturias,21313.42,2023-03-01
Cogeneración,Asturias,22493.066,2023-03-01
Residuos no renovables,Asturias,6764.199,2023-03-01
Generación total,Asturias,863848.515,2023-03-01
Hidráulica,Asturias,91149.563,2023-04-01
Carbón,Asturias,208863.132,2023-04-01
Ciclo combinado,Asturias,160116.468,2023-04-01
Eólica,Asturias,104657.733,2023-04-01
Solar fotovoltaica,Asturias,82.696,2023-04-01
Otras renovables,Asturias,22760.231,2023-04-01
Cogeneración,Asturias,17234.079,2023-04-01
